"UnitNumber","Time","Setting1","Setting2","Setting3","Sensor1","Sensor2","Sensor3","Sensor4","Sensor5","Sensor6","Sensor7","Sensor8","Sensor9","Sensor10","Sensor11","Sensor12","Sensor13","Sensor14","Sensor15","Sensor16","Sensor17","Sensor18","Sensor19","Sensor20","Sensor21","RUL","sd_10_Sensor1","sd_10_Sensor2","sd_10_Sensor3","sd_10_Sensor4","sd_10_Sensor5","sd_10_Sensor6","sd_10_Sensor7","sd_10_Sensor8","sd_10_Sensor9","sd_10_Sensor10","sd_10_Sensor11","sd_10_Sensor12","sd_10_Sensor13","sd_10_Sensor14","sd_10_Sensor15","sd_10_Sensor16","sd_10_Sensor17","sd_10_Sensor18","sd_10_Sensor19","sd_10_Sensor20","sd_10_Sensor21","k_closest_Sensor1","k_closest_Sensor2","k_closest_Sensor3","k_closest_Sensor4","k_closest_Sensor5","k_closest_Sensor6","k_closest_Sensor7","k_closest_Sensor8","k_closest_Sensor9","k_closest_Sensor10","k_closest_Sensor11","k_closest_Sensor12","k_closest_Sensor13","k_closest_Sensor14","k_closest_Sensor15","k_closest_Sensor16","k_closest_Sensor17","k_closest_Sensor18","k_closest_Sensor19","k_closest_Sensor20","k_closest_Sensor21"
1,1,-7.0E-4,-4.0E-4,100,518.67,641.82,1589.7,1400.6000000000001,14.620000000000001,21.61,554.36,2388.06,9046.19,1.3,47.47,521.66,2388.02,8138.62,8.419500000000001,0.03,392,2388,100,39.06,23.419,191,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,29,0.0012000000000000001,-1.0E-4,100,518.67,641.91,1584.83,1400.99,14.620000000000001,21.61,554.25,2388.05,9050.47,1.3,47.24,522.41,2388.06,8133.06,8.4189,0.03,393,2388,100,38.93,23.3597,163,0,0.32298761586165914,4.058059265215357,2.8018224426255105,0,3.552713678800501E-15,0.38481164223550307,0.03667424164175424,4.754743315889657,2.220446049250313E-16,0.08946507698537925,0.3048671841966553,0.032619012860581664,2.897589342884946,0.01412320431063723,6.938893903907228E-18,1.0049875621120892,0,0,0.061935450268808784,0.0545654799300805,518.67,642.14,1585.5833333333333,1400.74,14.620000000000001,21.61,554.1433333333334,2388.046666666667,9049.423333333332,1.3,47.28666666666667,522.4166666666666,2388.0666666666666,8132.936666666666,8.425733333333335,0.03,393.0,2388,100,38.95666666666667,23.401133333333338
1,30,-0.0022,0.0,100,518.67,642.2,1593.52,1396.08,14.620000000000001,21.61,554.37,2388.07,9045.62,1.3,47.4,522.19,2388.0,8137.860000000001,8.406500000000001,0.03,390,2388,100,39.050000000000004,23.411,162,0,0.25661059993694946,3.6215886017050765,2.2097203442969904,0,3.552713678800501E-15,0.3223414338864823,0.036345563690748824,4.776541007883894,2.220446049250313E-16,0.09086253353280341,0.30201986689620064,0.035270384177080186,3.295910951466991,0.013823834489750058,6.938893903907228E-18,1.2206555615733703,0,0,0.06406246951218808,0.05395996293549522,518.67,642.2366666666667,1591.0233333333333,1397.0933333333332,14.620000000000001,21.61,554.2433333333333,2388.0633333333335,9046.896666666667,1.3,47.39333333333334,522.1566666666666,2388.0399999999995,8135.173333333333,8.41,0.03,391.0,2388,100,39.01666666666667,23.42436666666667
1,36,-4.0E-4,-2.0E-4,100,518.67,642.54,1581.72,1405.54,14.620000000000001,21.61,554.53,2388.01,9044.56,1.3,47.25,522.32,2388.04,8132.4800000000005,8.4246,0.03,392,2388,100,38.86,23.4308,156,0,0.23310083654934477,4.159089924490709,2.6739343671825493,0,3.552713678800501E-15,0.2596536154186962,0.030659419433454238,3.9301558493272792,2.220446049250313E-16,0.07867019766086633,0.273707873470977,0.036276714294433715,4.652207647988279,0.018278295872427693,6.938893903907228E-18,1.0049875621120892,0,0,0.09726767191621306,0.06406799200849064,518.67,642.5066666666668,1583.8633333333337,1403.6566666666668,14.620000000000001,21.61,554.4799999999999,2388.026666666667,9045.593333333332,1.3,47.26,522.0500000000001,2388.0400000000004,8132.200000000001,8.424766666666665,0.03,392.0,2388,100,38.833333333333336,23.449033333333333
1,45,-0.0013000000000000002,0.0,100,518.67,642.53,1582.42,1399.16,14.620000000000001,21.61,553.83,2388.08,9060.32,1.3,47.45,521.73,2388.05,8128.31,8.4099,0.03,393,2388,100,38.79,23.3943,147,0,0.2235195740869243,4.129680496115884,2.3757356755329133,0,3.552713678800501E-15,0.37862382386744037,0.024919871588686852,4.80923912900979,2.220446049250313E-16,0.1272949331277571,0.27181059581994493,0.026153393661234165,3.1216431570567225,0.014194805387887557,6.938893903907228E-18,0.30000000000000004,0,0,0.1303687079018584,0.04920484122522893,518.67,642.39,1584.6733333333334,1400.58,14.620000000000001,21.61,553.83,2388.0733333333333,9058.419999999998,1.3,47.46333333333334,522.0100000000001,2388.0433333333335,8128.803333333333,8.410133333333334,0.03,392.3333333333333,2388,100,38.92666666666667,23.40456666666667
1,46,3.0000000000000003E-4,1.0E-4,100,518.67,642.4300000000001,1588.29,1401.27,14.620000000000001,21.61,553.76,2388.06,9060.380000000001,1.3,47.2,522.02,2388.08,8128.71,8.3977,0.03,393,2388,100,38.93,23.3745,146,0,0.20836506425022358,4.036271051354201,2.0099455216497493,0,3.552713678800501E-15,0.3762778228915541,0.020396078054334753,4.3117983487168265,2.220446049250313E-16,0.1303418582037256,0.2753198140345028,0.02821347195929966,3.2631771327954437,0.014374644343426396,6.938893903907228E-18,0.4,0,0,0.1276283667528502,0.049646237521084935,518.67,642.4000000000001,1588.9166666666667,1401.2833333333335,14.620000000000001,21.61,553.7566666666667,2388.06,9059.526666666663,1.3,47.323333333333345,522.1833333333333,2388.0733333333333,8128.080000000001,8.4048,0.03,392.6666666666667,2388,100,38.973333333333336,23.381266666666665
1,51,-0.001,3.0000000000000003E-4,100,518.67,642.8100000000001,1585.54,1400.42,14.620000000000001,21.61,553.73,2388.02,9047.09,1.3,47.12,521.91,2388.05,8134.360000000001,8.4504,0.03,393,2388,100,38.94,23.3651,141,0,0.3003731013256585,3.1432250953439533,2.301188605916487,0,3.552713678800501E-15,0.21886982432487329,0.020396078054334753,5.523754520251189,2.220446049250313E-16,0.12807810117268378,0.36013330865111703,0.025377155080915387,2.9294861324127806,0.01580701110267208,6.938893903907228E-18,0.45825756949558394,0,0,0.08114801291467423,0.0518458108240192,518.67,642.6033333333335,1586.1266666666668,1400.8233333333337,14.620000000000001,21.61,553.89,2388.0466666666666,9046.983333333335,1.3,47.18666666666667,521.8866666666668,2388.0533333333333,8133.276666666668,8.434366666666667,0.03,392.3333333333333,2388,100,38.95666666666667,23.380233333333333
1,59,-6.000000000000001E-4,2.0E-4,100,518.67,642.33,1596.72,1403.51,14.620000000000001,21.61,554.62,2388.07,9050.06,1.3,47.26,521.32,2388.02,8128.81,8.4476,0.03,392,2388,100,38.92,23.4444,133,0,0.2784618465786605,4.682177271313,2.3929605094944573,0,3.552713678800501E-15,0.44016928561635665,0.021931712199477652,3.8272926462449575,2.220446049250313E-16,0.11471704319760019,0.34533462033222545,0.02238302928563084,2.7252809029527865,0.01790475076620733,6.938893903907228E-18,0.7810249675906654,0,0,0.09795917517006776,0.05549933423024117,518.67,642.41,1591.17,1402.6266666666668,14.620000000000001,21.61,554.4033333333333,2388.07,9050.396666666666,1.3,47.26,521.6833333333334,2388.0266666666666,8131.663333333333,8.435266666666665,0.03,392.0,2388,100,38.89666666666667,23.385933333333337
1,62,4.0E-4,1.0E-4,100,518.67,642.17,1581.5900000000001,1399.54,14.620000000000001,21.61,554.45,2388.1,9053.62,1.3,47.28,522.19,2388.1,8132.28,8.4071,0.03,391,2388,100,39.03,23.2707,130,0,0.20149441679610405,5.084224719659835,2.016828202896808,0,3.552713678800501E-15,0.31988122795814306,0.0292574776766352,3.3624181774433253,2.220446049250313E-16,0.05660388679233969,0.3668569203381598,0.02727636339395691,2.1017566462365624,0.017737330689819048,6.938893903907228E-18,0.8,0,0,0.09929753269845162,0.058337295960646185,518.67,642.1999999999999,1582.63,1400.1999999999998,14.620000000000001,21.61,554.4033333333333,2388.1000000000004,9051.963333333331,1.3,47.26666666666666,522.2466666666668,2388.076666666667,8132.416666666667,8.4071,0.03,390.6666666666667,2388,100,38.96,23.307933333333338
1,63,0.0015,2.0E-4,100,518.67,642.6,1592.14,1395.38,14.620000000000001,21.61,553.48,2388.06,9049.960000000001,1.3,47.51,521.5600000000001,2388.01,8130.7300000000005,8.4357,0.03,394,2388,100,38.77,23.343600000000002,129,0,0.1999224849785602,4.8665680926090165,2.779389141520096,0,3.552713678800501E-15,0.37325058606787137,0.02899999999998539,3.361480179920961,2.220446049250313E-16,0.08064738061462355,0.4018258329177056,0.030149626863322433,2.0957566652642763,0.017059073831834953,6.938893903907228E-18,1.0770329614269012,0,0,0.10789346597454369,0.05715882783962614,518.67,642.4233333333333,1590.8033333333333,1399.33,14.620000000000001,21.61,553.8566666666667,2388.0633333333335,9050.199999999999,1.3,47.410000000000004,521.69,2388.0200000000004,8131.5566666666655,8.436566666666666,0.03,393.0,2388,100,38.85,23.364800000000002
